Product	Date $ time
USB-C Charging Cable	4/19/2019 8:46
Bose SoundSport Headphones	4/7/2019 22:30
Google Phone	4/12/2019 14:38
Wired Headphones	4/12/2019 14:38
Wired Headphones	4/30/2019 9:27
USB-C Charging Cable	4/29/2019 13:03
Bose SoundSport Headphones	4/2/2019 7:46
USB-C Charging Cable	4/12/2019 10:58
Macbook Pro Laptop	4/24/2019 10:38
Wired Headphones	4/8/2019 14:05
Google Phone	4/18/2019 17:18
Lightning Charging Cable	4/15/2019 12:18
27in 4K Gaming Monitor	4/16/2019 19:23
AA Batteries (4-pack)	4/22/2019 15:09
Lightning Charging Cable	4/19/2019 14:29
Apple Airpods Headphones	4/4/2019 20:30
USB-C Charging Cable	4/27/2019 18:41
Google Phone	4/3/2019 19:42
USB-C Charging Cable	4/3/2019 19:42
AAA Batteries (4-pack)	4/27/2019 0:30
Apple Airpods Headphones	4/28/2019 11:42
Apple Airpods Headphones	4/4/2019 19:25
Apple Airpods Headphones	4/9/2019 23:35
AA Batteries (4-pack)	4/11/2019 10:23
USB-C Charging Cable	4/5/2019 0:35
iPhone	4/9/2019 21:38
Bose SoundSport Headphones	4/27/2019 12:20
AAA Batteries (4-pack)	4/20/2019 12:00
Flatscreen TV	4/24/2019 20:39
Bose SoundSport Headphones	4/7/2019 11:31
Bose SoundSport Headphones	4/7/2019 11:31
AAA Batteries (4-pack)	4/10/2019 17:00
Google Phone	4/10/2019 17:00
27in FHD Monitor	4/29/2019 19:38
20in Monitor	4/2/2019 4:00
Lightning Charging Cable	4/4/2019 12:23
Google Phone	4/11/2019 11:46
Apple Airpods Headphones	4/21/2019 7:21
USB-C Charging Cable	4/27/2019 13:04
Lightning Charging Cable	4/15/2019 13:45
Wired Headphones	4/17/2019 23:04
Wired Headphones	4/2/2019 9:11
Apple Airpods Headphones	4/27/2019 20:11
USB-C Charging Cable	4/19/2019 13:39
AAA Batteries (4-pack)	4/21/2019 20:33
Lightning Charging Cable	4/11/2019 15:25
27in 4K Gaming Monitor	4/30/2019 15:54
USB-C Charging Cable	4/2/2019 22:32
Lightning Charging Cable	4/30/2019 9:39
USB-C Charging Cable	4/1/2019 7:46
USB-C Charging Cable	4/2/2019 10:57
USB-C Charging Cable	4/15/2019 16:29
LG Dryer	4/21/2019 14:16
AAA Batteries (4-pack)	4/18/2019 12:11
iPhone	4/11/2019 12:01
Apple Airpods Headphones	4/11/2019 16:59
AAA Batteries (4-pack)	4/26/2019 0:40
Bose SoundSport Headphones	4/30/2019 13:16
Apple Airpods Headphones	4/4/2019 19:48
USB-C Charging Cable	4/26/2019 18:58
AA Batteries (4-pack)	4/7/2019 21:01
Lightning Charging Cable	4/30/2019 10:35
USB-C Charging Cable	4/5/2019 20:40
Apple Airpods Headphones	4/25/2019 8:03
Lightning Charging Cable	4/18/2019 21:44
Flatscreen TV	4/16/2019 18:37
USB-C Charging Cable	4/17/2019 10:39
Lightning Charging Cable	4/11/2019 16:09
AA Batteries (4-pack)	4/11/2019 20:16
27in FHD Monitor	4/20/2019 23:51
AA Batteries (4-pack)	4/28/2019 10:44
AAA Batteries (4-pack)	4/24/2019 19:00
Bose SoundSport Headphones	4/1/2019 21:40
Wired Headphones	4/21/2019 14:57
Lightning Charging Cable	4/15/2019 4:03
USB-C Charging Cable	4/24/2019 11:56
Google Phone	4/10/2019 5:01
USB-C Charging Cable	4/13/2019 18:48
AAA Batteries (4-pack)	4/14/2019 14:28
ThinkPad Laptop	4/23/2019 14:03
Lightning Charging Cable	4/10/2019 8:00
Vareebadd Phone	4/26/2019 9:55
AA Batteries (4-pack)	4/30/2019 20:37
AAA Batteries (4-pack)	4/17/2019 10:03
USB-C Charging Cable	4/20/2019 8:33
Macbook Pro Laptop	4/28/2019 16:14
Wired Headphones	4/27/2019 22:54
Lightning Charging Cable	4/25/2019 21:36
AA Batteries (4-pack)	4/17/2019 18:38
Macbook Pro Laptop	4/27/2019 21:32
USB-C Charging Cable	4/23/2019 2:09
AAA Batteries (4-pack)	4/26/2019 18:38
Macbook Pro Laptop	4/22/2019 7:14
Google Phone	4/21/2019 19:40
27in FHD Monitor	4/24/2019 1:17
USB-C Charging Cable	4/9/2019 8:49
Lightning Charging Cable	4/12/2019 16:47
iPhone	4/7/2019 13:14
LG Washing Machine	4/9/2019 20:04
AA Batteries (4-pack)	4/26/2019 19:20
USB-C Charging Cable	4/15/2019 19:35
Apple Airpods Headphones	4/11/2019 19:36
Google Phone	4/12/2019 16:42
ThinkPad Laptop	4/23/2019 10:16
AAA Batteries (4-pack)	4/22/2019 8:51
20in Monitor	4/29/2019 14:40
AA Batteries (4-pack)	4/16/2019 17:10
Wired Headphones	4/25/2019 20:40
34in Ultrawide Monitor	4/5/2019 12:46
Bose SoundSport Headphones	4/5/2019 11:48
AAA Batteries (4-pack)	4/13/2019 18:59
ThinkPad Laptop	4/7/2019 14:15
Wired Headphones	4/8/2019 16:50
27in 4K Gaming Monitor	4/11/2019 0:39
AA Batteries (4-pack)	4/15/2019 20:46
27in FHD Monitor	4/8/2019 12:57
Apple Airpods Headphones	4/25/2019 21:23
AAA Batteries (4-pack)	4/23/2019 16:31
Lightning Charging Cable	4/12/2019 11:07
USB-C Charging Cable	4/12/2019 11:07
20in Monitor	4/10/2019 8:17
AAA Batteries (4-pack)	4/20/2019 20:53
AAA Batteries (4-pack)	4/2/2019 9:02
LG Dryer	4/9/2019 0:35
34in Ultrawide Monitor	4/1/2019 11:50
AA Batteries (4-pack)	4/19/2019 22:12
Apple Airpods Headphones	4/16/2019 11:12
USB-C Charging Cable	4/13/2019 11:28
Apple Airpods Headphones	4/20/2019 10:39
ThinkPad Laptop	4/20/2019 10:39
Lightning Charging Cable	4/27/2019 6:19
AA Batteries (4-pack)	4/3/2019 13:54
USB-C Charging Cable	4/17/2019 0:51
34in Ultrawide Monitor	4/23/2019 22:53
Wired Headphones	4/17/2019 15:17
Macbook Pro Laptop	4/30/2019 10:26
Flatscreen TV	4/20/2019 18:25
Bose SoundSport Headphones	4/24/2019 17:15
AAA Batteries (4-pack)	4/24/2019 17:15
20in Monitor	4/4/2019 18:33
AAA Batteries (4-pack)	4/12/2019 11:57
Wired Headphones	4/8/2019 18:21
AA Batteries (4-pack)	4/22/2019 9:00
USB-C Charging Cable	4/5/2019 20:46
AA Batteries (4-pack)	4/12/2019 20:50
iPhone	4/7/2019 12:41
Wired Headphones	4/20/2019 22:38
Bose SoundSport Headphones	4/2/2019 16:15
Bose SoundSport Headphones	4/28/2019 18:04
34in Ultrawide Monitor	4/7/2019 23:10
USB-C Charging Cable	4/11/2019 13:05
AA Batteries (4-pack)	4/23/2019 19:44
